Program,Pvalue,Avalue,Mag
P0,0.0,0.91,large
P10,0.02,0.39,small
P100,0.0,0.96,large
P101,0.02,0.39,small
P102,0.04,0.41,small
P103,0.08,0.43,negligible
P104,1.0,0.5,negligible
P105,0.02,0.39,small
P106,0.34,0.48,negligible
P107,1.0,0.5,negligible
P109,0.0,0.35,small
P11,0.0,0.35,small
P111,0.16,0.46,negligible
P112,0.0,1.0,large
P113,0.0,0.91,large
P114,0.02,0.39,small
P115,0.0,1.0,large
P116,1.0,0.5,negligible
P117,0.01,0.37,small
P118,0.04,0.41,small
P119,0.0,0.83,large
P12,0.34,0.48,negligible
P120,1.0,0.5,negligible
P122,1.0,0.5,negligible
P123,0.0,0.93,large
P124,0.02,0.39,small
P125,0.02,0.39,small
P127,1.0,0.5,negligible
P128,0.16,0.46,negligible
P129,1.0,0.5,negligible
P13,0.04,0.41,small
P130,0.08,0.43,negligible
P131,0.01,0.37,small
P132,0.0,1.0,large
P133,0.0,0.89,large
P134,0.0,1.0,large
P135,0.04,0.41,small
P136,0.02,0.39,small
P137,1.0,0.5,negligible
P138,0.0,1.0,large
P139,0.0,0.98,large
P14,0.08,0.43,negligible
P141,0.02,0.39,small
P144,0.0,0.72,medium
P145,0.34,0.48,negligible
P146,0.0,1.0,large
P147,1.0,0.5,negligible
P148,0.01,0.37,small
P149,0.34,0.48,negligible
P150,0.08,0.43,negligible
P152,0.04,0.41,small
P153,0.79,0.52,negligible
P154,1.0,0.5,negligible
P155,0.0,1.0,large
P156,0.0,0.3,medium
P157,0.04,0.41,small
P158,0.0,0.26,large
P159,0.0,0.35,small
P16,0.0,0.96,large
P160,0.16,0.46,negligible
P161,0.04,0.41,small
P162,0.0,0.87,large
P163,0.0,1.0,large
P164,1.0,0.5,negligible
P167,0.16,0.46,negligible
P168,0.0,0.35,small
P169,0.04,0.41,small
P17,0.34,0.48,negligible
P170,0.34,0.48,negligible
P172,0.08,0.43,negligible
P173,0.0,0.3,medium
P174,0.34,0.48,negligible
P175,0.0,0.35,small
P176,0.04,0.41,small
P177,0.34,0.48,negligible
P178,0.04,0.41,small
P18,0.01,0.37,small
P181,0.01,0.37,small
P182,0.02,0.39,small
P183,0.04,0.41,small
P184,0.01,0.37,small
P186,0.0,0.93,large
P187,0.01,0.37,small
P188,0.0,0.91,large
P189,0.0,0.96,large
P19,0.02,0.39,small
P191,0.02,0.39,small
P193,0.0,0.33,medium
P194,0.04,0.41,small
P195,0.04,0.41,small
P196,0.0,0.3,medium
P197,0.01,0.37,small
P198,1.0,0.5,negligible
P199,0.04,0.41,small
P2,0.08,0.43,negligible
P20,1.0,0.5,negligible
P200,0.0,1.0,large
P201,0.0,0.76,large
P202,0.02,0.39,small
P203,0.0,0.74,large
P204,0.0,0.78,large
P205,0.08,0.43,negligible
P207,0.0,0.74,large
P209,0.04,0.41,small
P21,1.0,0.5,negligible
P210,0.34,0.48,negligible
P211,0.08,0.43,negligible
P212,0.0,0.26,large
P213,0.34,0.48,negligible
P214,0.0,1.0,large
P216,0.0,1.0,large
P218,0.08,0.43,negligible
P219,0.34,0.48,negligible
P22,0.0,1.0,large
P220,0.0,0.87,large
P224,1.0,0.5,negligible
P225,0.34,0.48,negligible
P226,0.01,0.37,small
P227,1.0,0.5,negligible
P228,0.02,0.39,small
P229,0.0,1.0,large
P23,0.0,0.7,medium
P230,0.34,0.48,negligible
P231,0.34,0.48,negligible
P233,0.02,0.39,small
P234,0.02,0.39,small
P235,0.34,0.48,negligible
P237,0.02,0.39,small
P238,0.01,0.37,small
P239,1.0,0.5,negligible
P24,1.0,0.5,negligible
P240,0.34,0.48,negligible
P241,0.01,0.37,small
P243,0.01,0.37,small
P244,1.0,0.5,negligible
P245,1.0,0.5,negligible
P247,0.02,0.39,small
P249,0.02,0.39,small
P25,0.0,1.0,large
P250,0.34,0.48,negligible
P251,0.08,0.43,negligible
P252,1.0,0.5,negligible
P253,0.34,0.48,negligible
P256,0.0,0.83,large
P258,0.02,0.39,small
P26,0.02,0.39,small
P260,0.0,0.26,large
P261,0.02,0.39,small
P262,0.01,0.37,small
P263,0.08,0.43,negligible
P264,0.34,0.48,negligible
P265,0.34,0.48,negligible
P266,0.02,0.39,small
P267,0.0,0.98,large
P268,0.0,1.0,large
P269,0.0,0.35,small
P270,0.16,0.46,negligible
P271,0.02,0.39,small
P272,0.02,0.39,small
P273,0.0,0.78,large
P274,0.02,0.39,small
P275,0.01,0.37,small
P276,0.02,0.39,small
P277,0.0,0.74,large
P278,0.34,0.48,negligible
P279,0.0,0.78,large
P28,1.0,0.5,negligible
P281,0.04,0.41,small
P282,0.01,0.37,small
P283,1.0,0.5,negligible
P284,0.08,0.43,negligible
P285,0.0,0.33,medium
P286,0.01,0.7,medium
