Program,Pvalue,Avalue,Mag
P0,0.0,0.81,large
P10,0.02,0.38,small
P100,0.0,0.85,large
P101,0.0,0.35,small
P102,0.01,0.37,small
P103,0.01,0.38,small
P104,0.16,0.46,negligible
P105,0.0,0.35,small
P106,0.04,0.42,small
P107,1.0,0.5,negligible
P109,0.0,0.33,medium
P11,0.0,0.31,medium
P111,0.02,0.4,small
P112,0.0,0.9,large
P113,0.0,0.81,large
P114,0.0,0.35,small
P115,0.0,1.0,large
P116,1.0,0.5,negligible
P117,0.0,0.33,medium
P118,0.01,0.37,small
P119,0.0,0.73,medium
P12,0.04,0.42,small
P120,0.08,0.44,negligible
P122,0.34,0.52,negligible
P123,0.0,0.85,large
P124,0.0,0.35,small
P125,0.0,0.35,small
P127,0.08,0.44,negligible
P128,0.02,0.4,small
P129,0.08,0.44,negligible
P13,0.01,0.37,small
P130,0.05,0.4,small
P131,0.0,0.34,small
P132,0.0,1.0,large
P133,0.0,0.83,large
P134,0.0,1.0,large
P135,0.01,0.38,small
P136,0.0,0.35,small
P137,0.34,0.52,negligible
P138,0.0,0.98,large
P139,0.0,0.87,large
P14,0.04,0.4,small
P141,0.0,0.35,small
P144,0.07,0.63,small
P145,0.04,0.42,small
P146,0.0,1.0,large
P147,0.28,0.46,negligible
P148,0.0,0.35,small
P149,0.04,0.42,small
P150,0.04,0.4,small
P152,0.01,0.37,small
P153,1.0,0.5,negligible
P154,0.08,0.44,negligible
P155,0.0,1.0,large
P156,0.0,0.29,medium
P157,0.01,0.37,small
P158,0.0,0.23,large
P159,0.0,0.32,medium
P16,0.0,0.85,large
P160,0.04,0.42,small
P161,0.01,0.37,small
P162,0.0,0.77,large
P163,0.0,1.0,large
P164,0.08,0.44,negligible
P167,0.02,0.4,small
P168,0.0,0.31,medium
P169,0.01,0.37,small
P17,0.04,0.42,small
P170,0.04,0.42,small
P172,0.01,0.38,small
P173,0.0,0.27,medium
P174,0.08,0.44,negligible
P175,0.0,0.31,medium
P176,0.01,0.38,small
P177,0.04,0.42,small
P178,0.01,0.37,small
P18,0.0,0.33,medium
P181,0.0,0.34,small
P182,0.0,0.35,small
P183,0.01,0.37,small
P184,0.0,0.33,medium
P186,0.0,0.89,large
P187,0.0,0.33,medium
P188,0.0,0.81,large
P189,0.0,0.92,large
P19,0.0,0.35,small
P191,0.0,0.35,small
P193,0.0,0.29,medium
P194,0.01,0.37,small
P195,0.01,0.37,small
P196,0.0,0.28,medium
P197,0.0,0.33,medium
P198,1.0,0.5,negligible
P199,0.01,0.37,small
P2,0.01,0.38,small
P20,1.0,0.5,negligible
P200,0.0,1.0,large
